,brain region,measurement,standard deviation,measurement type,measurement unit,cell type,source title,comment,specimen age
2682,"Inferior colliculus, external nucleus",6000,,cell density,number of cells per mm^3,inhibitory neuron,GABAergic neurons in inferior colliculus of the GAD67-GFP knock-in mouse: Electrophysiological and morphological properties,"Transversal brain slices 30–50 um, GAD67-stained
Assuming mean slice width 40um",P12–P33
2683,"Primary motor area, Layer 1",0,0,cell density,number of cells per mm^3,PV+,"Green fluorescent protein expression and colocalization with calretinin, parvalbumin, and somatostatin in the GAD67-GFP knock-in mouse.","% of neurons coexpressing marker
Percentage of percentage of Gabaergic cells (~19%) applied to densities of neurons in Cell Atlas ( neuron counts / region volume)",> 3 months
2684,"Secondary motor area, layer 1",0,0,cell density,number of cells per mm^3,PV+,"Green fluorescent protein expression and colocalization with calretinin, parvalbumin, and somatostatin in the GAD67-GFP knock-in mouse.","% of neurons coexpressing marker
Percentage of percentage of Gabaergic cells (~19%) applied to densities of neurons in Cell Atlas ( neuron counts / region volume)",> 3 months
2685,"Piriform area, molecular layer",144,361.5121021,cell density,number of cells per mm^3,PV+,Inhibitory Neurons in the Anterior Piriform Cortex of the Mouse: Classification Using Molecular Markers,"Table 3
GFP from marker GAD67
Anterior Piriform Cortex corresponds to the anterior part of the Piriform area (covered by lateral olfactory tracts)
Layer 1 is molecular layer
Layer 2 is pyramidal layer
Layer 3 is polymorph layer
Layer 1 and 2 subdivisions a and b are merged by mean",11 weeks old
2686,"Piriform area, pyramidal layer",1698,2033.090996,cell density,number of cells per mm^3,PV+,Inhibitory Neurons in the Anterior Piriform Cortex of the Mouse: Classification Using Molecular Markers,"Table 3
GFP from marker GAD67
Anterior Piriform Cortex corresponds to the anterior part of the Piriform area (covered by lateral olfactory tracts)
Layer 1 is molecular layer
Layer 2 is pyramidal layer
Layer 3 is polymorph layer
Layer 1 and 2 subdivisions a and b are merged by mean",11 weeks old
2687,"Piriform area, polymorph layer",4723,1051.370059,cell density,number of cells per mm^3,PV+,Inhibitory Neurons in the Anterior Piriform Cortex of the Mouse: Classification Using Molecular Markers,"Table 3
GFP from marker GAD67
Anterior Piriform Cortex corresponds to the anterior part of the Piriform area (covered by lateral olfactory tracts)
Layer 1 is molecular layer
Layer 2 is pyramidal layer
Layer 3 is polymorph layer
Layer 1 and 2 subdivisions a and b are merged by mean",11 weeks old
2688,Endopiriform nucleus,2277,2142.539615,cell density,number of cells per mm^3,PV+,Inhibitory Neurons in the Anterior Piriform Cortex of the Mouse: Classification Using Molecular Markers,"Table 3
GFP from marker GAD67
Anterior Piriform Cortex corresponds to the anterior part of the Piriform area (covered by lateral olfactory tracts)
Layer 1 is molecular layer
Layer 2 is pyramidal layer
Layer 3 is polymorph layer
Layer 1 and 2 subdivisions a and b are merged by mean",11 weeks old
2689,Primary visual area,20237,992,cell density,number of cells per mm^3,PV+,Multiple distinct subtypes of GABAergic neurons in mouse visual cortex identified by triple immunostaining,"Table 2
Densities of PV, VIP, SST neurons","newborn (P0), 5-, 13-, 16-, 33-, 150- and 300-day-old"
2690,"Main olfactory bulb, glomerular layer",1435.897436,461.5384615,cell density,number of cells per mm^3,PV+,Quantitative Analysis of Neuronal Diversity in the Mouse Olfactory Bulb,"Table 4
Cell counts from GAD67 experiment converted to densities using volumes provided Table 2 
Cell counts from GAD65 experiments are also available",8 weeks
2691,"Main olfactory bulb, outer plexiform layer",9219.858156,3120.567376,cell density,number of cells per mm^3,PV+,Quantitative Analysis of Neuronal Diversity in the Mouse Olfactory Bulb,"Table 4
Cell counts from GAD67 experiment converted to densities using volumes provided Table 2 
Cell counts from GAD65 experiments are also available",8 weeks
2692,"Main olfactory bulb, mitral layer",0,0,cell density,number of cells per mm^3,PV+,Quantitative Analysis of Neuronal Diversity in the Mouse Olfactory Bulb,"Table 4
Cell counts from GAD67 experiment converted to densities using volumes provided Table 2 
Cell counts from GAD65 experiments are also available",8 weeks
2693,"Main olfactory bulb, inner plexiform layer",0,0,cell density,number of cells per mm^3,PV+,Quantitative Analysis of Neuronal Diversity in the Mouse Olfactory Bulb,"Table 4
Cell counts from GAD67 experiment converted to densities using volumes provided Table 2 
Cell counts from GAD65 experiments are also available",8 weeks
2694,"Main olfactory bulb, granule layer",787.037037,416.6666667,cell density,number of cells per mm^3,PV+,Quantitative Analysis of Neuronal Diversity in the Mouse Olfactory Bulb,"Table 4
Cell counts from GAD67 experiment converted to densities using volumes provided Table 2 
Cell counts from GAD65 experiments are also available",8 weeks
2695,Main olfactory bulb,2324.037185,385.126162,cell density,number of cells per mm^3,PV+,Quantitative Analysis of Neuronal Diversity in the Mouse Olfactory Bulb,"Table 4
Cell counts from GAD67 experiment converted to densities using volumes provided Table 2 
Cell counts from GAD65 experiments are also available",8 weeks
2696,Prelimbic area,6864,1048,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2697,"Prelimbic area, layer 1",0,0,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2698,"Prelimbic area, layer 2/3",8600,1808,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2699,"Prelimbic area, layer 4",9704,76,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2700,"Prelimbic area, layer 5",9064,2176,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2701,"Prelimbic area, layer 6a",6192,836,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2702,"Prelimbic area, layer 6b",6192,836,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2703,Primary somatosensory area,8188,1348,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2704,"Primary somatosensory area, layer 1",0,0,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2705,"Primary somatosensory area, layer 2/3",7180,2044,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2706,"Primary somatosensory area, layer 4",11832,2784,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2707,"Primary somatosensory area, layer 5",13684,564,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2708,"Primary somatosensory area, layer 6a",5524,1260,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2709,"Primary somatosensory area, layer 6b",5524,1260,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2710,Primary visual area,10484,132,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2711,"Primary visual area, layer 1",0,0,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2712,"Primary visual area, layer 2/3",5616,452,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2713,"Primary visual area, layer 4",16220,276,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2714,"Primary visual area, layer 5",15972,56,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2715,"Primary visual area, layer 6a",9752,0,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2716,"Primary visual area, layer 6b",9752,0,cell density,number of cells per mm^3,PV+,Immunochemical Characterization of Inhibitory Mouse Cortical Neurons: Three Chemically Distinct Classes of Inhibitory Cells,"Frontal cortex -> Prelimbic area
Table 2
Layer 4 does not exist for Prelimbic area
L6 -> layer 6a and layer 6b",Adult mice
2717,Dentate gyrus,750,68.75,cell density,number of cells per mm^3,PV+,Selective populations of hippocampal interneurons express ErbB4 and their number and distribution is altered in ErbB4 knockout mice,"Fig 8 and 10. Densities of PV+, SST+ cells in wildtype mice extracted from barplot",12-16 weeks
2718,Field CA3,1112.5,100,cell density,number of cells per mm^3,PV+,Selective populations of hippocampal interneurons express ErbB4 and their number and distribution is altered in ErbB4 knockout mice,"Fig 8 and 10. Densities of PV+, SST+ cells in wildtype mice extracted from barplot",12-16 weeks
2719,Field CA1,1150,137.5,cell density,number of cells per mm^3,PV+,Selective populations of hippocampal interneurons express ErbB4 and their number and distribution is altered in ErbB4 knockout mice,"Fig 8 and 10. Densities of PV+, SST+ cells in wildtype mice extracted from barplot",12-16 weeks
2720,Subiculum,2050,193.75,cell density,number of cells per mm^3,PV+,Selective populations of hippocampal interneurons express ErbB4 and their number and distribution is altered in ErbB4 knockout mice,"Fig 8 and 10. Densities of PV+, SST+ cells in wildtype mice extracted from barplot",12-16 weeks
2721,Somatosensory cortex,7045.454545455,852.272727273,cell density,number of cells per mm^3,PV+,Structural and Functional Aberrations in the Cerebral Cortex of Tenascin-C Deficient Mice,"Extracted from Figure 3.
Hard to tell on which sub region of the SSCtx this article focuses on",19–23 weeks
2722,Somatomotor areas,6846.590909091,710.227272727,cell density,number of cells per mm^3,PV+,Structural and Functional Aberrations in the Cerebral Cortex of Tenascin-C Deficient Mice,"Extracted from Figure 3.
Hard to tell on which sub region of the SSCtx this article focuses on",19–23 weeks
2723,"Primary somatosensory area, barrel field, layer 1",0,0,cell density,number of cells per mm^3,PV+,Distribution Patterns of Three Molecularly Defined Classes of GABAergic Neurons Across Columnar Compartments in Mouse Barrel Cortex,"Tables 1,2,3
Densities of L5a and L5b have been merged
Same densities for L6a and L6b",6-8 weeks.
2724,"Primary somatosensory area, barrel field, layer 2/3",4995.65,1278.58,cell density,number of cells per mm^3,PV+,Distribution Patterns of Three Molecularly Defined Classes of GABAergic Neurons Across Columnar Compartments in Mouse Barrel Cortex,"Tables 1,2,3
Densities of L5a and L5b have been merged
Same densities for L6a and L6b",6-8 weeks.
2725,"Primary somatosensory area, barrel field, layer 4",8426.59,1405.35,cell density,number of cells per mm^3,PV+,Distribution Patterns of Three Molecularly Defined Classes of GABAergic Neurons Across Columnar Compartments in Mouse Barrel Cortex,"Tables 1,2,3
Densities of L5a and L5b have been merged
Same densities for L6a and L6b",6-8 weeks.
2726,"Primary somatosensory area, barrel field, layer 5",8737.499,1954.89,cell density,number of cells per mm^3,PV+,Distribution Patterns of Three Molecularly Defined Classes of GABAergic Neurons Across Columnar Compartments in Mouse Barrel Cortex,"Tables 1,2,3
Densities of L5a and L5b have been merged
Same densities for L6a and L6b",6-8 weeks.
2727,"Primary somatosensory area, barrel field, layer 6a",3017.66,1003.13,cell density,number of cells per mm^3,PV+,Distribution Patterns of Three Molecularly Defined Classes of GABAergic Neurons Across Columnar Compartments in Mouse Barrel Cortex,"Tables 1,2,3
Densities of L5a and L5b have been merged
Same densities for L6a and L6b",6-8 weeks.
2728,"Primary somatosensory area, barrel field, layer 6b",3017.66,1003.13,cell density,number of cells per mm^3,PV+,Distribution Patterns of Three Molecularly Defined Classes of GABAergic Neurons Across Columnar Compartments in Mouse Barrel Cortex,"Tables 1,2,3
Densities of L5a and L5b have been merged
Same densities for L6a and L6b",6-8 weeks.
2729,Field CA1,1405,110,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2730,"Field CA1, stratum oriens",2010,235,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2731,"Field CA1, pyramidal layer",4780,570,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2732,"Field CA1, stratum radiatum",135,50,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2733,"Field CA1, stratum lacunosum-moleculare",30,25,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2734,Field CA3,1535,90,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2735,"Field CA3, stratum oriens",1415,200,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2736,"Field CA3, pyramidal layer",3105,190,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2737,"Field CA3, stratum lucidum",620,235,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2738,"Field CA3, stratum radiatum",815,235,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2739,"Field CA3, stratum lacunosum-moleculare",25,45,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2740,Dentate gyrus,650,50,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2741,"Dentate gyrus, polymorph layer",745,180,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2742,"Dentate gyrus, granule cell layer",2110,140,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2743,"Dentate gyrus, molecular layer",110,25,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
2744,Anterior cingulate area,2197.5,137.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2745,Dorsal peduncular area,1032.5,185,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2746,Infralimbic area,872.5,65,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2747,Primary motor area,2727.5,617.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2748,Secondary motor area,2505,330,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2749,Prelimbic area,1227.5,175,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2750,"Retrosplenial area, lateral agranular part",4845,697.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2751,Primary somatosensory area,3717.5,477.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2752,"Primary somatosensory area, barrel field",4432.5,732.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2753,"Primary somatosensory area, mouth",3652.5,290,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2754,"Primary somatosensory area, trunk",4380,657.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2755,Supplemental somatosensory area,3205,95,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2756,Primary visual area,4401.25,502.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2757,Lateral visual area,3756.25,315,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2758,Posterolateral visual area,3756.25,315,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2759,Anterolateral visual area,3756.25,315,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2760,Anteromedial visual area,2975,272.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2761,posteromedial visual area,2975,272.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2762,Primary auditory area,3690,250,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2763,Dorsal auditory area,3480,227.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2764,Ventral auditory area,2735,202.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2765,Ectorhinal area,540,50,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2766,"Entorhinal area, medial part, dorsal zone",460,102.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2767,"Entorhinal area, lateral part",1162.5,80,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2768,Perirhinal area,1075,80,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2769,Temporal association areas,1452.5,185,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2770,Field CA1,983.75,108.75,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2771,Field CA3,1536.25,378.75,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2772,Dentate gyrus,1452.5,23.75,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
2773,Piriform-amygdalar area,1811.023622047,896.663259,cell density,number of cells per mm^3,PV+,GABA concentration and GABAergic neuron populations in limbic areas are differentially altered by brain serotonin deficiency in Tph2 knockout mice,Extracted from Figure 3 and 4,3 months
2774,Field CA1,938.271604938,766.0955574,cell density,number of cells per mm^3,PV+,GABA concentration and GABAergic neuron populations in limbic areas are differentially altered by brain serotonin deficiency in Tph2 knockout mice,Extracted from Figure 3 and 4,3 months
2775,Field CA3,2419.75308642,645.133101,cell density,number of cells per mm^3,PV+,GABA concentration and GABAergic neuron populations in limbic areas are differentially altered by brain serotonin deficiency in Tph2 knockout mice,Extracted from Figure 3 and 4,3 months
2776,Dentate gyrus,3226.33744856,1612.832752,cell density,number of cells per mm^3,PV+,GABA concentration and GABAergic neuron populations in limbic areas are differentially altered by brain serotonin deficiency in Tph2 knockout mice,Extracted from Figure 3 and 4,3 months
